"","lat_bin","lon_bin","geartype","fishing_hours"
"27",-7.66,136.83,"trawlers",11.7772222222222
"28",-7.57,137.09,"trawlers",10.1279166666667
"29",-7.57,137.08,"trawlers",4.57694444444444
"30",-7.56,137.08,"trawlers",5.84375
"31",-7.53,137.25,"trawlers",5.82291666666667
"33",-8.86,137.38,"trawlers",5.88597222222222
"35",-8.85,137.24,"trawlers",2.64513888888889
"37",-8.82,137.37,"trawlers",11.7344444444444
"38",-8.81,137.22,"trawlers",10.2601388888889
"41",-8.74,138.34,"trawlers",8.47583333333333
"42",-8.73,138.39,"trawlers",14.1034722222222
"43",-8.73,138.27,"trawlers",4.54597222222222
"44",-8.7,138.39,"trawlers",11.7918055555556
"45",-8.19,137.21,"trawlers",2.76166666666667
"46",-8.18,137.21,"trawlers",1.43305555555556
"47",7.34,137.39,"trawlers",3.65083333333333
"48",7.34,137.61,"trawlers",0.925555555555556
"49",7.34,137.6,"trawlers",1.68541666666667
"50",7.36,137.66,"trawlers",1.41833333333333
"51",7.36,137.39,"trawlers",5.78305555555556
"52",7.38,137.68,"trawlers",3.25069444444444
"53",7.4,137.49,"trawlers",5.81625
"54",-7.95,137.12,"trawlers",5.86055555555556
"55",-7.95,137.13,"trawlers",1.46638888888889
"56",7.42,137.28,"trawlers",0.996805555555556
"57",7.42,137.33,"trawlers",2.58708333333333
"58",7.42,137.29,"trawlers",3.13736111111111
"59",-7.87,136.7,"trawlers",11.8497222222222
"60",1.2,103.81,"purse_seines",4.81083333333333
"65",1.3,103.72,"purse_seines",0.69875
"97",-6.02,107.73,"trawlers",0.33625
"100",-5.95,107.73,"trawlers",11.03875
"105",-5.92,107.73,"trawlers",21.5015277777778
"115",-2.41,86.54,"drifting_longlines",5.83291666666667
"118",-2.24,86.58,"drifting_longlines",3.39319444444444
"121",3.02,86.53,"drifting_longlines",3.69291666666667
"122",-2.06,86.01,"drifting_longlines",13.7043055555556
"124",3.14,86.57,"drifting_longlines",0.788611111111111
"125",-1.97,86.18,"drifting_longlines",0.809861111111111
"126",3.16,86.57,"drifting_longlines",1.84041666666667
"127",-1.96,86.17,"drifting_longlines",0.959027777777778
"129",-1.92,86,"drifting_longlines",12.8472222222222
"130",-1.92,86.53,"drifting_longlines",5.69625
"131",-1.92,86.43,"drifting_longlines",0.793472222222222
"132",-1.91,86.41,"drifting_longlines",1.81847222222222
"133",-1.9,85.65,"drifting_longlines",0.760277777777778
"134",-1.9,86.16,"drifting_longlines",2.33166666666667
"135",-1.87,85.65,"drifting_longlines",0.284444444444444
"136",-1.86,85.65,"drifting_longlines",0.68
"137",-1.78,85.66,"drifting_longlines",1.50444444444444
"138",-1.78,86.43,"drifting_longlines",11.7027777777778
"139",3.38,86.72,"drifting_longlines",2.30166666666667
"140",3.45,86.62,"drifting_longlines",1.23375
"141",3.45,86.73,"drifting_longlines",0.291805555555556
"142",3.45,86.74,"drifting_longlines",0.615138888888889
"143",-1.67,85.66,"drifting_longlines",0.945694444444444
"144",-1.66,85.66,"drifting_longlines",0.824027777777778
"147",-1.62,85.55,"drifting_longlines",3.65152777777778
"148",-1.6,85.59,"drifting_longlines",0.791111111111111
"149",-1.59,85.62,"drifting_longlines",0.904166666666667
"150",-1.5,85.42,"drifting_longlines",0.909722222222222
"151",-1.46,85.42,"drifting_longlines",1.85833333333333
"154",-1.31,85.44,"drifting_longlines",3.975
"155",-1.24,85.46,"drifting_longlines",2.69708333333333
"160",-3.49,91.86,"drifting_longlines",5.20694444444444
"162",-13.56,109.83,"drifting_longlines",1.41194444444444
"163",-13.56,109.82,"drifting_longlines",0.819027777777778
"164",-13.47,109.85,"drifting_longlines",3.49444444444444
"167",-13.21,110.23,"drifting_longlines",3.2175
"168",-13.19,109.86,"drifting_longlines",2.68888888888889
"169",-13.12,109.93,"drifting_longlines",3.46958333333333
"170",-13.11,110.63,"drifting_longlines",3.21111111111111
"171",-13.1,110.06,"drifting_longlines",3.37930555555556
"173",-13.07,110.84,"drifting_longlines",0.8875
"174",-13.03,110.93,"drifting_longlines",1.20847222222222
"175",2.43,86.42,"drifting_longlines",2.79583333333333
"176",2.48,86.43,"drifting_longlines",2.77333333333333
"177",2.52,86.43,"drifting_longlines",3.9125
"197",1.3,103.72,"purse_seines",0.530277777777778
"202",-8.98,93.47,"drifting_longlines",0.898611111111111
"203",-8.98,93.48,"drifting_longlines",2.29763888888889
"204",-8.96,93.35,"drifting_longlines",3.60680555555556
"205",-8.95,93.81,"drifting_longlines",2.25513888888889
"206",-8.95,93.82,"drifting_longlines",3.49694444444444
