"","lat_bin","lon_bin","geartype","fishing_hours"
"1",-7.68,136.99,"trawlers",6.49416666666667
"2",-7.67,136.91,"trawlers",2.39986111111111
"4",-7.46,136.82,"trawlers",16.7390277777778
"16",-8.14,136.64,"trawlers",6.4225
"19",-7.69,136.85,"trawlers",6.74402777777778
"20",-7.69,136.89,"trawlers",11.0904166666667
"21",-7.69,136.97,"trawlers",6.59430555555556
"81",-6.47,138.05,"squid_jigger",11.7902777777778
"86",2.65,139.2,"drifting_longlines",11.5941666666667
"88",2.83,139.87,"drifting_longlines",3.55875
"101",-3.31,125.81,"drifting_longlines",8.10736111111111
